"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-05","Canada","2016A000011124","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057609","1.7.1.1","1762.7","","","","1"
"2022-06","Canada","2016A000011124","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057609","1.7.1.1","1786.6","","","","1"
"2022-07","Canada","2016A000011124","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057609","1.7.1.1","1793.1","","","","1"
"2022-08","Canada","2016A000011124","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057609","1.7.1.1","1791.0","","","","1"
"2022-09","Canada","2016A000011124","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057609","1.7.1.1","1777.0","","","","1"
"2022-10","Canada","2016A000011124","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057609","1.7.1.1","1786.3","","","","1"
"2022-11","Canada","2016A000011124","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057609","1.7.1.1","1786.4","","","","1"
"2022-12","Canada","2016A000011124","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057609","1.7.1.1","1784.5","","","","1"
"2022-01","Canada","2016A000011124","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057611","1.9.1.1","2991.6","","","","1"
"2022-02","Canada","2016A000011124","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057611","1.9.1.1","3018.4","","","","1"
"2022-03","Canada","2016A000011124","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057611","1.9.1.1","3029.6","","","","1"
"2022-04","Canada","2016A000011124","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057611","1.9.1.1","3037.1","","","","1"
"2022-05","Canada","2016A000011124","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057611","1.9.1.1","3046.2","","","","1"
"2022-06","Canada","2016A000011124","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057611","1.9.1.1","2997.2","","","","1"
"2022-07","Canada","2016A000011124","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057611","1.9.1.1","2994.3","","","","1"
"2022-08","Canada","2016A000011124","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057611","1.9.1.1","2988.2","","","","1"
"2022-09","Canada","2016A000011124","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057611","1.9.1.1","2968.0","","","","1"
"2022-10","Canada","2016A000011124","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057611","1.9.1.1","2928.0","","","","1"
"2022-11","Canada","2016A000011124","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057611","1.9.1.1","2919.0","","","","1"
"2022-12","Canada","2016A000011124","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057611","1.9.1.1","2901.2","","","","1"
