"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-07","New Brunswick","2016A000213","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057682","5.4.1.1","10.3","","","","1"
"2019-07","New Brunswick","2016A000213","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057683","5.5.1.1","3.5","","","","1"
"2019-07","New Brunswick","2016A000213","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057684","5.6.1.1","25.7","","","","1"
"2019-07","New Brunswick","2016A000213","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057685","5.7.1.1","30.6","","","","1"
"2019-07","New Brunswick","2016A000213","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057687","5.9.1.1","53.1","","","","1"
"2019-07","New Brunswick","2016A000213","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057688","5.10.1.1","18.0","","","","1"
"2019-07","New Brunswick","2016A000213","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057689","5.11.1.1","19.1","","","","1"
"2019-07","New Brunswick","2016A000213","Professional, scientific and technical services [54]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057690","5.12.1.1","18.8","","","","1"
"2019-07","New Brunswick","2016A000213","Business, building and other support services [55-56]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057691","5.13.1.1","15.5","","","","1"
"2019-07","New Brunswick","2016A000213","Educational services [61]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057692","5.14.1.1","26.3","","","","1"
"2019-07","New Brunswick","2016A000213","Health care and social assistance [62]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057693","5.15.1.1","59.5","","","","1"
"2019-07","New Brunswick","2016A000213","Information, culture and recreation [51, 71]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057694","5.16.1.1","12.5","","","","1"
"2019-07","New Brunswick","2016A000213","Accommodation and food services [72]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057695","5.17.1.1","23.1","","","","1"
"2019-07","New Brunswick","2016A000213","Other services (except public administration) [81]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057696","5.18.1.1","14.1","","","","1"
"2019-07","New Brunswick","2016A000213","Public administration [91]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057697","5.19.1.1","24.6","","","","1"
"2019-07","Quebec","2016A000224","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057700","6.3.1.1","54.4","","","","1"
"2019-07","Quebec","2016A000224","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057701","6.4.1.1","44.7","","","","1"
"2019-07","Quebec","2016A000224","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057702","6.5.1.1","21.3","","","","1"
"2019-07","Quebec","2016A000224","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057703","6.6.1.1","268.9","","","","1"
"2019-07","Quebec","2016A000224","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057704","6.7.1.1","506.7","","","","1"
"2019-07","Quebec","2016A000224","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057706","6.9.1.1","672.5","","","","1"
"2019-07","Quebec","2016A000224","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057707","6.10.1.1","245.1","","","","1"
"2019-07","Quebec","2016A000224","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057708","6.11.1.1","238.7","","","","1"
"2019-07","Quebec","2016A000224","Professional, scientific and technical services [54]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057709","6.12.1.1","350.3","","","","1"
"2019-07","Quebec","2016A000224","Business, building and other support services [55-56]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057710","6.13.1.1","179.1","","","","1"
"2019-07","Quebec","2016A000224","Educational services [61]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057711","6.14.1.1","289.2","","","","1"
"2019-07","Quebec","2016A000224","Health care and social assistance [62]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057712","6.15.1.1","599.2","","","","1"
"2019-07","Quebec","2016A000224","Information, culture and recreation [51, 71]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057713","6.16.1.1","184.7","","","","1"
"2019-07","Quebec","2016A000224","Accommodation and food services [72]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057714","6.17.1.1","256.2","","","","1"
"2019-07","Quebec","2016A000224","Other services (except public administration) [81]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057715","6.18.1.1","178.3","","","","1"
"2019-07","Quebec","2016A000224","Public administration [91]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057716","6.19.1.1","255.6","","","","1"
"2019-07","Ontario","2016A000235","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057719","7.3.1.1","74.0","","","","1"
"2019-07","Ontario","2016A000235","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057720","7.4.1.1","34.6","","","","1"
"2019-07","Ontario","2016A000235","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057721","7.5.1.1","53.1","","","","1"
"2019-07","Ontario","2016A000235","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057722","7.6.1.1","544.7","","","","1"
"2019-07","Ontario","2016A000235","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057723","7.7.1.1","771.4","","","","1"
"2019-07","Ontario","2016A000235","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057725","7.9.1.1","1109.8","","","","1"
"2019-07","Ontario","2016A000235","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057726","7.10.1.1","391.0","","","","1"
"2019-07","Ontario","2016A000235","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057727","7.11.1.1","597.8","","","","1"
"2019-07","Ontario","2016A000235","Professional, scientific and technical services [54]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057728","7.12.1.1","686.7","","","","1"
"2019-07","Ontario","2016A000235","Business, building and other support services [55-56]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057729","7.13.1.1","307.9","","","","1"
"2019-07","Ontario","2016A000235","Educational services [61]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057730","7.14.1.1","522.4","","","","1"
"2019-07","Ontario","2016A000235","Health care and social assistance [62]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057731","7.15.1.1","894.5","","","","1"
"2019-07","Ontario","2016A000235","Information, culture and recreation [51, 71]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057732","7.16.1.1","311.3","","","","1"
"2019-07","Ontario","2016A000235","Accommodation and food services [72]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057733","7.17.1.1","455.4","","","","1"
"2019-07","Ontario","2016A000235","Other services (except public administration) [81]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057734","7.18.1.1","286.0","","","","1"
"2019-07","Ontario","2016A000235","Public administration [91]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057735","7.19.1.1","374.6","","","","1"
"2019-07","Manitoba","2016A000246","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057738","8.3.1.1","26.2","","","","1"
"2019-07","Manitoba","2016A000246","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057739","8.4.1.1","5.8","","","","1"
"2019-07","Manitoba","2016A000246","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057740","8.5.1.1","6.9","","","","1"
"2019-07","Manitoba","2016A000246","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057741","8.6.1.1","51.3","","","","1"
"2019-07","Manitoba","2016A000246","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057742","8.7.1.1","63.1","","","","1"
"2019-07","Manitoba","2016A000246","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057744","8.9.1.1","93.3","","","","1"
"2019-07","Manitoba","2016A000246","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057745","8.10.1.1","41.6","","","","1"
